ticker,name,market,corp_code,corp_name,source_contract_version,score_policy_version,source_cache_status,source_cache_reason,financial_basis_at_source,preferred_fs_div,annual_source_year,annual_fs_div,annual_revenue_y0,annual_revenue_y1,annual_revenue_y2,annual_operating_profit_y0,annual_operating_profit_y1,annual_operating_profit_y2,annual_net_income_y0,annual_net_income_y1,annual_net_income_y2,three_year_source_status,quarter_source_status,quarter_current_year,q2_revenue_current,q2_revenue_previous,q2_operating_profit_current,q2_operating_profit_previous,q2_net_income_current,q2_net_income_previous,q2_revenue_yoy_pct,q2_operating_profit_yoy_pct,q2_net_income_yoy_pct,quarter_acceleration_classification,quarter_acceleration_policy_status,deep_source_year,deep_fs_div,deep_source_status,cash_and_cash_equivalents,core_debt_candidates_json,lease_liability_candidates_json,other_financial_liability_candidates_json,depreciation_amortization_candidates_json,net_cash_value,net_cash_policy_status,ev_ebitda_value,ev_ebitda_source_status,investment_score_100,investment_score_status,score_threshold_policy_status,fetched_at_kst
023160,태광,KOSDAQ,00153375,태광,2026-09-16-v8.11.7-five-financial-cis-interest-revenue-contract,2026-07-01-v6.0-score-policy,READY_RAW_SOURCE,,2026 반기보고서,CFS,2025,CFS,296965688227.0,266809991545.0,312067468098.0,38734846446.0,39872964654.0,57724095747.0,65514427414.0,46120905147.0,58128426139.0,READY,READY_Q2_SOURCE,2026,83745574424.0,72315648639.0,7211824467.0,7656783941.0,68945537376.0,13382480386.0,15.81,-5.81,415.19,,NOT_DEFINED_NO_CLASSIFICATION,2025,CFS,OK,35596044294.0,[],"[{""account_id"":""ifrs-full_CurrentLeaseLiabilities"",""account_nm"":""유동 리스부채"",""amount"":1352696624.0},{""account_id"":""ifrs-full_NoncurrentLeaseLiabilities"",""account_nm"":""비유동 리스부채"",""amount"":1903691678.0}]","[{""account_id"":""ifrs-full_OtherCurrentFinancialLiabilities"",""account_nm"":""기타유동금융부채"",""amount"":5678543264.0},{""account_id"":""ifrs-full_OtherNoncurrentFinancialLiabilities"",""account_nm"":""기타비유동금융부채"",""amount"":61800000.0}]",[],,RAW_CASH_AND_DEBT_CAPTURED_POLICY_REQUIRED,,SOURCE_LIMITED_DA_NOT_VALIDATED,,SOURCE_ONLY_SCORE_NOT_GENERATED,NOT_DEFINED,2026-09-19T11:44:42+09:00
025980,아난티,KOSDAQ,00161781,아난티,2026-09-16-v8.11.7-five-financial-cis-interest-revenue-contract,2026-07-01-v6.0-score-policy,READY_RAW_SOURCE,,2026 반기보고서,CFS,2025,CFS,258070776397.0,285159195284.0,897296641579.0,8316490610.0,800283769.0,267047733935.0,-38044863875.0,-32369258163.0,210408476713.0,READY,READY_Q2_SOURCE,2026,55123302632.0,61851976514.0,-5364779875.0,-2504768491.0,-9198407317.0,-29473808814.0,-10.88,-114.18,68.79,,NOT_DEFINED_NO_CLASSIFICATION,2025,CFS,OK,100300596867.0,"[{""account_id"":""-표준계정코드 미사용-"",""account_nm"":""유동성장기부채"",""amount"":47269394794.0},{""account_id"":""ifrs-full_ShorttermBorrowings"",""account_nm"":""단기차입금 및 사채"",""amount"":115500000000.0},{""account_id"":""ifrs-full_LongtermBorrowings"",""account_nm"":""장기차입금"",""amount"":495891642685.0}]","[{""account_id"":""ifrs-full_NoncurrentLeaseLiabilities"",""account_nm"":""리스부채"",""amount"":254141112.0}]",[],[],,RAW_CASH_AND_DEBT_CAPTURED_POLICY_REQUIRED,,SOURCE_LIMITED_DA_NOT_VALIDATED,,SOURCE_ONLY_SCORE_NOT_GENERATED,NOT_DEFINED,2026-09-19T11:44:42+09:00
036930,주성엔지니어링,KOSDAQ,00252135,주성엔지니어링,2026-09-16-v8.11.7-five-financial-cis-interest-revenue-contract,2026-07-01-v6.0-score-policy,READY_RAW_SOURCE,,2026 반기보고서,CFS,2025,CFS,310692584812.0,409393371588.0,284745246660.0,31257811742.0,97196211588.0,28937462812.0,35693416702.0,106814110967.0,34000802285.0,READY,READY_Q2_SOURCE,2026,59881817078.0,78792213478.0,1423232226.0,6575447323.0,5500994210.0,5039630588.0,-24.0,-78.36,9.15,,NOT_DEFINED_NO_CLASSIFICATION,2025,CFS,OK,164383610031.0,"[{""account_id"":""ifrs-full_LongtermBorrowings"",""account_nm"":""비유동차입금(사채 포함)의 비유동성 부분"",""amount"":45000000000.0}]","[{""account_id"":""ifrs-full_CurrentLeaseLiabilities"",""account_nm"":""유동 리스부채"",""amount"":632280845.0},{""account_id"":""ifrs-full_NoncurrentLeaseLiabilities"",""account_nm"":""비유동 리스부채"",""amount"":4217248190.0}]","[{""account_id"":""ifrs-full_OtherCurrentFinancialLiabilities"",""account_nm"":""기타유동금융부채"",""amount"":5317808549.0},{""account_id"":""ifrs-full_OtherNoncurrentFinancialLiabilities"",""account_nm"":""기타비유동금융부채"",""amount"":100024607196.0}]","[{""account_id"":""ifrs-full_AdjustmentsForAmortisationExpense"",""account_nm"":""무형자산상각비에 대한 조정"",""amount"":1374697247.0},{""account_id"":""ifrs-full_AdjustmentsForDepreciationExpense"",""account_nm"":""감가상각비에 대한 조정"",""amount"":16840951744.0}]",,RAW_CASH_AND_DEBT_CAPTURED_POLICY_REQUIRED,,SOURCE_LIMITED_DA_NOT_VALIDATED,,SOURCE_ONLY_SCORE_NOT_GENERATED,NOT_DEFINED,2026-09-19T11:44:42+09:00
041510,에스엠,KOSDAQ,00260930,에스엠,2026-09-16-v8.11.7-five-financial-cis-interest-revenue-contract,2026-07-01-v6.0-score-policy,READY_RAW_SOURCE,,2026 반기보고서,CFS,2025,CFS,1174934814159.0,989725343114.0,961069716545.0,183033876467.0,87296655446.0,113463014394.0,359364113602.0,818849820.0,82683480181.0,READY,READY_Q2_SOURCE,2026,349640523616.0,302914439760.0,52856215191.0,47610585554.0,29162775105.0,30878185080.0,15.43,11.02,-5.56,,NOT_DEFINED_NO_CLASSIFICATION,2025,CFS,OK,364611980599.0,"[{""account_id"":""ifrs-full_CurrentLoansReceivedAndCurrentPortionOfNoncurrentLoansReceived"",""account_nm"":""단기차입금"",""amount"":5166699000.0},{""account_id"":""ifrs-full_NoncurrentPortionOfNoncurrentLoansReceived"",""account_nm"":""장기차입금"",""amount"":0.0}]","[{""account_id"":""ifrs-full_CurrentLeaseLiabilities"",""account_nm"":""유동리스부채"",""amount"":21143768532.0},{""account_id"":""ifrs-full_NoncurrentLeaseLiabilities"",""account_nm"":""비유동리스부채"",""amount"":63087971820.0}]","[{""account_id"":""ifrs-full_OtherCurrentFinancialLiabilities"",""account_nm"":""기타금융부채"",""amount"":5981505344.0}]",[],,RAW_CASH_AND_DEBT_CAPTURED_POLICY_REQUIRED,,SOURCE_LIMITED_DA_NOT_VALIDATED,,SOURCE_ONLY_SCORE_NOT_GENERATED,NOT_DEFINED,2026-09-19T11:44:42+09:00
058470,리노공업,KOSDAQ,00369657,리노공업,2026-09-16-v8.11.7-five-financial-cis-interest-revenue-contract,2026-07-01-v6.0-score-policy,READY_RAW_SOURCE,,2026 반기보고서,OFS,2025,OFS,372534084608.0,278186189427.0,255573034656.0,176997188289.0,124201343872.0,114378400291.0,151960670406.0,113279046428.0,110923015440.0,READY,READY_Q2_SOURCE,2026,143187426964.0,112522064123.0,73513742404.0,53444357551.0,65922968641.0,41110227661.0,27.25,37.55,60.36,,NOT_DEFINED_NO_CLASSIFICATION,2025,OFS,OK,85202812409.0,[],"[{""account_id"":""ifrs-full_CurrentLeaseLiabilities"",""account_nm"":""리스부채"",""amount"":66744453.0},{""account_id"":""ifrs-full_NoncurrentLeaseLiabilities"",""account_nm"":""리스부채"",""amount"":46631569.0}]",[],[],,RAW_CASH_AND_DEBT_CAPTURED_POLICY_REQUIRED,,SOURCE_LIMITED_DA_NOT_VALIDATED,,SOURCE_ONLY_SCORE_NOT_GENERATED,NOT_DEFINED,2026-09-19T11:44:42+09:00
060370,LS마린솔루션,KOSDAQ,00225742,LS마린솔루션,2026-09-16-v8.11.7-five-financial-cis-interest-revenue-contract,2026-07-01-v6.0-score-policy,READY_RAW_SOURCE,,2026 반기보고서,CFS,2025,CFS,244205074557.0,130279123723.0,70779250390.0,7009301321.0,12392667090.0,13086945968.0,8356327494.0,13203271844.0,11617864038.0,READY,READY_Q2_SOURCE,2026,95440343611.0,66986959531.0,6121569377.0,3416376038.0,6975962359.0,1446729881.0,42.48,79.18,382.19,,NOT_DEFINED_NO_CLASSIFICATION,2025,CFS,OK,73563614656.0,[],"[{""account_id"":""ifrs-full_CurrentLeaseLiabilities"",""account_nm"":""리스부채"",""amount"":702590502.0},{""account_id"":""ifrs-full_NoncurrentLeaseLiabilities"",""account_nm"":""리스부채"",""amount"":1089144693.0}]",[],[],,RAW_CASH_AND_DEBT_CAPTURED_POLICY_REQUIRED,,SOURCE_LIMITED_DA_NOT_VALIDATED,,SOURCE_ONLY_SCORE_NOT_GENERATED,NOT_DEFINED,2026-09-19T11:44:42+09:00
078340,컴투스,KOSDAQ,00476498,컴투스,2026-09-16-v8.11.7-five-financial-cis-interest-revenue-contract,2026-07-01-v6.0-score-policy,READY_RAW_SOURCE,,2026 반기보고서,CFS,2025,CFS,696423825349.0,693943029291.0,739638721494.0,2633918673.0,6128463563.0,-33190425674.0,9363716654.0,-151979459619.0,42091849090.0,READY,READY_Q2_SOURCE,2026,157019618370.0,184819101683.0,7159846249.0,1375090454.0,-3507399962.0,2393348073.0,-15.04,420.68,-246.55,,NOT_DEFINED_NO_CLASSIFICATION,2025,CFS,OK,108935942067.0,"[{""account_id"":""ifrs-full_CurrentPortionOfLongtermBorrowings"",""account_nm"":""유동성장기차입금"",""amount"":71971429474.0},{""account_id"":""ifrs-full_ShorttermBorrowings"",""account_nm"":""단기차입금"",""amount"":202088628300.0},{""account_id"":""ifrs-full_NoncurrentPortionOfNoncurrentBondsIssued"",""account_nm"":""사채"",""amount"":0.0},{""account_id"":""ifrs-full_NoncurrentPortionOfNoncurrentLoansReceived"",""account_nm"":""장기차입금"",""amount"":700000000.0}]",[],[],"[{""account_id"":""ifrs-full_AdjustmentsForAmortisationExpense"",""account_nm"":""무형자산상각비"",""amount"":6621687162.0},{""account_id"":""ifrs-full_AdjustmentsForDepreciationExpense"",""account_nm"":""감가상각비"",""amount"":12476268154.0}]",,RAW_CASH_AND_DEBT_CAPTURED_POLICY_REQUIRED,,SOURCE_LIMITED_DA_NOT_VALIDATED,,SOURCE_ONLY_SCORE_NOT_GENERATED,NOT_DEFINED,2026-09-19T11:44:42+09:00
086450,동국제약,KOSDAQ,00114808,동국제약,2026-09-16-v8.11.7-five-financial-cis-interest-revenue-contract,2026-07-01-v6.0-score-policy,READY_RAW_SOURCE,,2026 반기보고서,CFS,2025,CFS,926883701823.0,812166073057.0,730993597323.0,96553506173.0,80419595222.0,66873304070.0,73932783976.0,62336110046.0,48871386212.0,READY,READY_Q2_SOURCE,2026,258896783870.0,233460830713.0,26093798270.0,22141217108.0,17241734196.0,18058134181.0,10.9,17.85,-4.52,,NOT_DEFINED_NO_CLASSIFICATION,2025,CFS,OK,56178706285.0,"[{""account_id"":""-표준계정코드 미사용-"",""account_nm"":""차입금"",""amount"":55385429504.0},{""account_id"":""-표준계정코드 미사용-"",""account_nm"":""차입금"",""amount"":20854185438.0}]",[],"[{""account_id"":""ifrs-full_OtherNoncurrentFinancialLiabilities"",""account_nm"":""기타금융부채"",""amount"":1018862471.0}]",[],,RAW_CASH_AND_DEBT_CAPTURED_POLICY_REQUIRED,,SOURCE_LIMITED_DA_NOT_VALIDATED,,SOURCE_ONLY_SCORE_NOT_GENERATED,NOT_DEFINED,2026-09-19T11:44:42+09:00
100790,미래에셋벤처투자,KOSDAQ,00340096,미래에셋벤처투자,2026-09-16-v8.11.7-five-financial-cis-interest-revenue-contract,2026-07-01-v6.0-score-policy,READY_RAW_SOURCE,,2026 반기보고서,CFS,2025,CFS,239848243971.0,233872469347.0,217046631995.0,35116207413.0,15704108860.0,31925038386.0,30930410145.0,8557020639.0,24538562942.0,READY,READY_Q2_SOURCE,2026,86096545310.0,85874675799.0,22352587043.0,4445598041.0,16370905613.0,5938984414.0,0.26,402.8,175.65,,NOT_DEFINED_NO_CLASSIFICATION,2025,CFS,OK,72457624551.0,[],[],[],"[{""account_id"":""ifrs-full_AdjustmentsForAmortisationExpense"",""account_nm"":""무형자산상각비"",""amount"":null},{""account_id"":""ifrs-full_AdjustmentsForDepreciationExpense"",""account_nm"":""감가상각비"",""amount"":-949463917.0}]",,RAW_CASH_AND_DEBT_CAPTURED_POLICY_REQUIRED,,SOURCE_LIMITED_DA_NOT_VALIDATED,,SOURCE_ONLY_SCORE_NOT_GENERATED,NOT_DEFINED,2026-09-19T11:44:42+09:00
122870,와이지엔터테인먼트,KOSDAQ,00613318,와이지엔터테인먼트,2026-09-16-v8.11.7-five-financial-cis-interest-revenue-contract,2026-07-01-v6.0-score-policy,READY_RAW_SOURCE,,2026 반기보고서,CFS,2025,CFS,545404261988.0,364948984163.0,569195078742.0,71341515441.0,-20558087283.0,86932081062.0,53744637813.0,20029618338.0,76984258248.0,READY,READY_Q2_SOURCE,2026,127759713220.0,100410739470.0,10968333710.0,8359636043.0,7544528636.0,11219863973.0,27.24,31.21,-32.76,,NOT_DEFINED_NO_CLASSIFICATION,2025,CFS,OK,168219905571.0,"[{""account_id"":""ifrs-full_NoncurrentPortionOfNoncurrentLoansReceived"",""account_nm"":""장기차입부채"",""amount"":6139477421.0}]","[{""account_id"":""ifrs-full_CurrentLeaseLiabilities"",""account_nm"":""단기리스부채"",""amount"":4805218340.0},{""account_id"":""ifrs-full_NoncurrentLeaseLiabilities"",""account_nm"":""장기리스부채"",""amount"":1011880330.0}]","[{""account_id"":""ifrs-full_TradeAndOtherCurrentPayables"",""account_nm"":""매입채무및기타금융부채"",""amount"":117487177402.0},{""account_id"":""ifrs-full_OtherNoncurrentFinancialLiabilities"",""account_nm"":""기타비유동금융부채"",""amount"":6396402498.0}]",[],,RAW_CASH_AND_DEBT_CAPTURED_POLICY_REQUIRED,,SOURCE_LIMITED_DA_NOT_VALIDATED,,SOURCE_ONLY_SCORE_NOT_GENERATED,NOT_DEFINED,2026-09-19T11:44:42+09:00
214450,파마리서치,KOSDAQ,00970453,파마리서치,2026-09-16-v8.11.7-five-financial-cis-interest-revenue-contract,2026-07-01-v6.0-score-policy,READY_RAW_SOURCE,,2026 반기보고서,CFS,2025,CFS,536289118812.0,350115068641.0,261010910564.0,214395758571.0,126050757121.0,92257786628.0,168255434874.0,88943035620.0,77264652455.0,READY,READY_Q2_SOURCE,2026,178704799285.0,140607447466.0,66469662181.0,55877690378.0,56228701360.0,42044835186.0,27.09,18.96,33.74,,NOT_DEFINED_NO_CLASSIFICATION,2025,CFS,OK,175663243434.0,"[{""account_id"":""-표준계정코드 미사용-"",""account_nm"":""단기차입금"",""amount"":0.0},{""account_id"":""ifrs-full_NoncurrentPortionOfNoncurrentLoansReceived"",""account_nm"":""장기차입금"",""amount"":434318200.0}]","[{""account_id"":""ifrs-full_CurrentLeaseLiabilities"",""account_nm"":""유동리스부채"",""amount"":1624628700.0},{""account_id"":""ifrs-full_NoncurrentLeaseLiabilities"",""account_nm"":""비유동리스부채"",""amount"":425546126.0}]",[],[],,RAW_CASH_AND_DEBT_CAPTURED_POLICY_REQUIRED,,SOURCE_LIMITED_DA_NOT_VALIDATED,,SOURCE_ONLY_SCORE_NOT_GENERATED,NOT_DEFINED,2026-09-19T11:44:42+09:00
263750,펄어비스,KOSDAQ,01152470,펄어비스,2026-09-16-v8.11.7-five-financial-cis-interest-revenue-contract,2026-07-01-v6.0-score-policy,READY_RAW_SOURCE,,2026 반기보고서,CFS,2025,CFS,365564943738.0,342384719856.0,333484523009.0,-14807541404.0,-12292682628.0,-16350059645.0,-8414919237.0,60343569967.0,15206477531.0,READY,READY_Q2_SOURCE,2026,192610521758.0,79561794975.0,67625499269.0,-11778547886.0,99542325760.0,-22700189087.0,142.09,674.14,538.51,,NOT_DEFINED_NO_CLASSIFICATION,2025,CFS,OK,133874628885.0,"[{""account_id"":""dart_CurrentPortionOfBonds"",""account_nm"":""유동성사채"",""amount"":0.0},{""account_id"":""ifrs-full_CurrentPortionOfLongtermBorrowings"",""account_nm"":""유동성장기차입부채"",""amount"":0.0},{""account_id"":""ifrs-full_ShorttermBorrowings"",""account_nm"":""단기차입부채"",""amount"":0.0},{""account_id"":""ifrs-full_LongtermBorrowings"",""account_nm"":""장기차입부채"",""amount"":56200000000.0},{""account_id"":""ifrs-full_NoncurrentPortionOfNoncurrentBondsIssued"",""account_nm"":""사채"",""amount"":0.0}]","[{""account_id"":""ifrs-full_CurrentLeaseLiabilities"",""account_nm"":""유동성리스부채"",""amount"":5204730750.0},{""account_id"":""ifrs-full_NoncurrentLeaseLiabilities"",""account_nm"":""비유동리스부채"",""amount"":13323877549.0}]",[],"[{""account_id"":""dart_AdjustmentsForDepreciationInvestmentProperty"",""account_nm"":""투자부동산상각비"",""amount"":51633400.0},{""account_id"":""ifrs-full_AdjustmentsForAmortisationExpense"",""account_nm"":""무형자산상각비"",""amount"":9559765899.0},{""account_id"":""ifrs-full_AdjustmentsForDepreciationExpense"",""account_nm"":""감가상각비"",""amount"":14530856379.0}]",,RAW_CASH_AND_DEBT_CAPTURED_POLICY_REQUIRED,,SOURCE_LIMITED_DA_NOT_VALIDATED,,SOURCE_ONLY_SCORE_NOT_GENERATED,NOT_DEFINED,2026-09-19T11:44:42+09:00
317330,덕산테코피아,KOSDAQ,01021666,덕산테코피아,2026-09-16-v8.11.7-five-financial-cis-interest-revenue-contract,2026-07-01-v6.0-score-policy,READY_RAW_SOURCE,,2026 반기보고서,CFS,2025,CFS,112078954483.0,99694431512.0,94076712274.0,-43026410473.0,-30219465064.0,-6225474421.0,-105550462258.0,-72579149118.0,-19273669673.0,READY,READY_Q2_SOURCE,2026,42181814089.0,28966831580.0,-10561938963.0,-8714319572.0,-18128395904.0,-7807731839.0,45.62,-21.2,-132.19,,NOT_DEFINED_NO_CLASSIFICATION,2025,CFS,OK,40032618067.0,"[{""account_id"":""ifrs-full_NoncurrentPortionOfNoncurrentLoansReceived"",""account_nm"":""비유동 금융기관 차입금(사채 제외)의 비유동성 대체 부분"",""amount"":73198840000.0}]",[],[],[],,RAW_CASH_AND_DEBT_CAPTURED_POLICY_REQUIRED,,SOURCE_LIMITED_DA_NOT_VALIDATED,,SOURCE_ONLY_SCORE_NOT_GENERATED,NOT_DEFINED,2026-09-19T11:44:42+09:00
417200,LS머트리얼즈,KOSDAQ,01528141,LS머트리얼즈,2026-09-16-v8.11.7-five-financial-cis-interest-revenue-contract,2026-07-01-v6.0-score-policy,READY_RAW_SOURCE,,2026 반기보고서,CFS,2025,CFS,153582399002.0,142075605799.0,136884683735.0,-141609582.0,6197093266.0,13568106930.0,-1007100491.0,5690646441.0,12224407560.0,READY,READY_Q2_SOURCE,2026,51297766953.0,39193324516.0,532787047.0,38121396.0,-286651686.0,-190552063.0,30.88,1297.61,-50.43,,NOT_DEFINED_NO_CLASSIFICATION,2025,CFS,OK,57427106565.0,"[{""account_id"":""ifrs-full_CurrentPortionOfLongtermBorrowings"",""account_nm"":""유동성장기차입금"",""amount"":0.0},{""account_id"":""ifrs-full_ShorttermBorrowings"",""account_nm"":""단기차입금"",""amount"":12052000000.0},{""account_id"":""ifrs-full_LongtermBorrowings"",""account_nm"":""장기차입금"",""amount"":35000000000.0}]","[{""account_id"":""ifrs-full_CurrentLeaseLiabilities"",""account_nm"":""유동 리스부채"",""amount"":1737596537.0},{""account_id"":""ifrs-full_NoncurrentLeaseLiabilities"",""account_nm"":""비유동 리스부채"",""amount"":664779013.0}]",[],[],,RAW_CASH_AND_DEBT_CAPTURED_POLICY_REQUIRED,,SOURCE_LIMITED_DA_NOT_VALIDATED,,SOURCE_ONLY_SCORE_NOT_GENERATED,NOT_DEFINED,2026-09-19T11:44:42+09:00
439960,코스모로보틱스,KOSDAQ,01802928,코스모로보틱스,2026-09-16-v8.11.7-five-financial-cis-interest-revenue-contract,2026-07-01-v6.0-score-policy,LIMITED_RAW_SOURCE,"3Y_ANNUAL_LIMITED,QUARTER_LIMITED,DEEP_ANNUAL_LIMITED",2026 반기보고서,CFS,2025,,,,,,,,,,,LIMITED,LIMITED,2026,,,,,,,,,,,NOT_DEFINED_NO_CLASSIFICATION,2025,,LIMITED,,[],[],[],[],,SOURCE_LIMITED_POLICY_REQUIRED,,SOURCE_LIMITED_DA_NOT_VALIDATED,,SOURCE_ONLY_SCORE_NOT_GENERATED,NOT_DEFINED,2026-09-19T11:44:42+09:00
476060,온코닉테라퓨틱스,KOSDAQ,01632912,온코닉테라퓨틱스,2026-09-16-v8.11.7-five-financial-cis-interest-revenue-contract,2026-07-01-v6.0-score-policy,LIMITED_RAW_SOURCE,"3Y_ANNUAL_LIMITED,QUARTER_LIMITED",2026 반기보고서,OFS,2025,OFS,,,,12619100519.0,-4797790778.0,2230939387.0,15783991467.0,-8092612266.0,1682463191.0,LIMITED,LIMITED,2026,,,2789195796.0,1112888260.0,3768045438.0,-155739772.0,,150.63,2519.45,,NOT_DEFINED_NO_CLASSIFICATION,2025,OFS,OK,47045956297.0,[],"[{""account_id"":""ifrs-full_CurrentLeaseLiabilities"",""account_nm"":""유동 리스부채"",""amount"":81271156.0},{""account_id"":""ifrs-full_NoncurrentLeaseLiabilities"",""account_nm"":""비유동 리스부채"",""amount"":44530090.0}]","[{""account_id"":""ifrs-full_OtherCurrentFinancialLiabilities"",""account_nm"":""기타유동금융부채"",""amount"":0.0}]",[],,RAW_CASH_AND_DEBT_CAPTURED_POLICY_REQUIRED,,SOURCE_LIMITED_DA_NOT_VALIDATED,,SOURCE_ONLY_SCORE_NOT_GENERATED,NOT_DEFINED,2026-09-19T11:44:42+09:00
000080,하이트진로,KOSPI,00150244,하이트진로,2026-09-16-v8.11.7-five-financial-cis-interest-revenue-contract,2026-07-01-v6.0-score-policy,READY_RAW_SOURCE,,2026 반기보고서,CFS,2025,CFS,2498566821284.0,2599183408023.0,2520181551629.0,172338670998.0,208141871425.0,123919983380.0,41117248572.0,95735005249.0,35511119931.0,READY,READY_Q2_SOURCE,2026,618592498752.0,646554290798.0,64937902201.0,64459394712.0,40549320741.0,32918400885.0,-4.32,0.74,23.18,,NOT_DEFINED_NO_CLASSIFICATION,2025,CFS,OK,243639082453.0,"[{""account_id"":""ifrs-full_CurrentBorrowingsAndCurrentPortionOfNoncurrentBorrowings"",""account_nm"":""차입금(유동)"",""amount"":640280576247.0},{""account_id"":""ifrs-full_LongtermBorrowings"",""account_nm"":""차입금(비유동)"",""amount"":316404470400.0}]","[{""account_id"":""ifrs-full_CurrentLeaseLiabilities"",""account_nm"":""리스부채(유동)"",""amount"":18422561967.0},{""account_id"":""ifrs-full_NoncurrentLeaseLiabilities"",""account_nm"":""리스부채(비유동)"",""amount"":76332136906.0}]","[{""account_id"":""ifrs-full_OtherCurrentFinancialLiabilities"",""account_nm"":""기타금융부채(유동)"",""amount"":189237164880.0},{""account_id"":""ifrs-full_OtherNoncurrentFinancialLiabilities"",""account_nm"":""기타금융부채(비유동)"",""amount"":113120590658.0}]","[{""account_id"":""dart_AdjustmentsForDepreciationInvestmentProperty"",""account_nm"":""감가상각비(투자부동산)"",""amount"":1787039807.0},{""account_id"":""dart_AdjustmentsForDepreciationRightofuseAssets"",""account_nm"":""감가상각비(사용권자산)"",""amount"":15833211953.0},{""account_id"":""ifrs-full_AdjustmentsForAmortisationExpense"",""account_nm"":""무형자산상각비"",""amount"":8235825335.0},{""account_id"":""ifrs-full_AdjustmentsForDepreciationExpense"",""account_nm"":""감가상각비(유형자산)"",""amount"":121585234212.0}]",,RAW_CASH_AND_DEBT_CAPTURED_POLICY_REQUIRED,,SOURCE_LIMITED_DA_NOT_VALIDATED,,SOURCE_ONLY_SCORE_NOT_GENERATED,NOT_DEFINED,2026-09-19T11:44:42+09:00
000140,하이트진로홀딩스,KOSPI,00148993,하이트진로홀딩스,2026-09-16-v8.11.7-five-financial-cis-interest-revenue-contract,2026-07-01-v6.0-score-policy,READY_RAW_SOURCE,,2026 반기보고서,CFS,2025,CFS,2484504029642.0,2585068710459.0,2506869281995.0,183252663765.0,221794886726.0,138073290650.0,15886630802.0,90773142637.0,18315800358.0,READY,READY_Q2_SOURCE,2026,615277821831.0,642895817131.0,64352082679.0,67482230769.0,36884853456.0,29619177552.0,-4.3,-4.64,24.53,,NOT_DEFINED_NO_CLASSIFICATION,2025,CFS,OK,256008384797.0,"[{""account_id"":""ifrs-full_CurrentBorrowingsAndCurrentPortionOfNoncurrentBorrowings"",""account_nm"":""차입금(유동)"",""amount"":1039905030866.0},{""account_id"":""ifrs-full_LongtermBorrowings"",""account_nm"":""차입금(비유동)"",""amount"":549960275349.0}]","[{""account_id"":""ifrs-full_CurrentLeaseLiabilities"",""account_nm"":""리스부채(유동)"",""amount"":18422561967.0},{""account_id"":""ifrs-full_NoncurrentLeaseLiabilities"",""account_nm"":""리스부채(비유동)"",""amount"":76332136906.0}]","[{""account_id"":""ifrs-full_OtherCurrentFinancialLiabilities"",""account_nm"":""기타금융부채"",""amount"":192550911912.0},{""account_id"":""ifrs-full_OtherNoncurrentFinancialLiabilities"",""account_nm"":""기타금융부채(비유동)"",""amount"":117941065283.0}]","[{""account_id"":""dart_AdjustmentsForDepreciationInvestmentProperty"",""account_nm"":""투자부동산감가상각비"",""amount"":1738212947.0},{""account_id"":""dart_AdjustmentsForDepreciationRightofuseAssets"",""account_nm"":""사용권자산감가상각비"",""amount"":15882038813.0},{""account_id"":""ifrs-full_AdjustmentsForAmortisationExpense"",""account_nm"":""무형자산상각비"",""amount"":2322932973.0},{""account_id"":""ifrs-full_AdjustmentsForDepreciationExpense"",""account_nm"":""감가상각비"",""amount"":122307325049.0}]",,RAW_CASH_AND_DEBT_CAPTURED_POLICY_REQUIRED,,SOURCE_LIMITED_DA_NOT_VALIDATED,,SOURCE_ONLY_SCORE_NOT_GENERATED,NOT_DEFINED,2026-09-19T11:44:42+09:00
000150,두산,KOSPI,00117212,두산,2026-09-16-v8.11.7-five-financial-cis-interest-revenue-contract,2026-07-01-v6.0-score-policy,READY_RAW_SOURCE,,2026 반기보고서,CFS,2025,CFS,19784138000000.0,18132874000000.0,19130130000000.0,1062715000000.0,1003759000000.0,1436262000000.0,249511000000.0,302227000000.0,272074000000.0,READY,READY_Q2_SOURCE,2026,5557234000000.0,5346439000000.0,489902000000.0,357778000000.0,535612000000.0,233170000000.0,3.94,36.93,129.71,,NOT_DEFINED_NO_CLASSIFICATION,2025,CFS,OK,4927903000000.0,"[{""account_id"":""ifrs-full_ShorttermBorrowings"",""account_nm"":""단기차입금"",""amount"":3985915000000.0},{""account_id"":""ifrs-full_NoncurrentPortionOfNoncurrentBondsIssued"",""account_nm"":""사채"",""amount"":642579000000.0},{""account_id"":""ifrs-full_NoncurrentPortionOfNoncurrentLoansReceived"",""account_nm"":""장기차입금"",""amount"":3006459000000.0}]","[{""account_id"":""ifrs-full_CurrentLeaseLiabilities"",""account_nm"":""유동리스부채"",""amount"":177564000000.0},{""account_id"":""ifrs-full_NoncurrentLeaseLiabilities"",""account_nm"":""비유동리스부채"",""amount"":660305000000.0}]",[],[],,RAW_CASH_AND_DEBT_CAPTURED_POLICY_REQUIRED,,SOURCE_LIMITED_DA_NOT_VALIDATED,,SOURCE_ONLY_SCORE_NOT_GENERATED,NOT_DEFINED,2026-09-19T11:44:42+09:00
